Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,Patent number,Month,Year,URL,Number of additional authors,Non-English,Interdisciplinary,Forensic science,Criminology,Propose double weighting,Is reserve output,Research group,Open access status,Citations applicable,Citation count,Cross-referral requested,Supplementary information,Delayed by COVID19,clickable DOI,Pdf number,File,T1 - Communication and Interaction,T2 - Philosophy of Education,T3 - Methodological Depth,T4 - Citizenship and Culture,T5 - Developmental Psychology,T6 - Health and Medicine,T7 - Mathematics,T8 - Gender,T9 - Regional issues and international development,T10 - Psychiatry and Psychopathology,T11 - Non-English Components,T12 - Language and Linguistics,T13 - Technology Enhanced Learning,T14 - Critical and Social Theory,"T15 - History, Religion and Race",T16 - Early Childhood and Families,T17 - Leadership and Management,T18 - New Materialism,T19 - Clinical Psychology and Developmental Disorders,T20 - Claims of Significance,T21 - Sports and Health,T22 - Analysing large-scale data,T23 - Schooling Systems,T24 - Affective Factors,T25 - Children's Social Care,T26 - Education Policy,T27 - Higher Education,T28 - Training and Employment,T29 - Special Educational Needs and Disabilities,T30 - Teacher Education and Professional Development,T31 - Science Education,T32 - Interviews and Focus Groups,T33 - Systematic Reviews and Meta-Analyses,T34 - Cognitive Processing,T35 - Reading,,,
10007784,University College London,C,23,Education,,,,D,Association of Early-Life Factors With Life-Course Trajectories of Resting Heart Rate: More Than 6 Decades of Follow-up.,,,JAMA pediatrics,172,4,e175525,ARTN e175525,,2168-6203,,February,2018,,2,,,,,,,,Access exception,,,,,,https://doi.org/10.1001/jamapediatrics.2017.5525,10001,10001,0.0003419357,0.0003879301,0.0161943120,0.0003274125,0.0000134168,0.0740124251,0.0000132946,0.0000190045,0.0000221605,0.0995258964,0.0000068567,0.0000128202,0.0000228711,0.0000748984,0.0000197251,0.0312095495,0.0000275080,0.0000382711,0.0000085553,0.0006519028,0.3268692405,0.4030996785,0.0013150774,0.0000210623,0.0000285704,0.0000575668,0.0009856308,0.0000248156,0.0000115865,0.0038420502,0.0000151302,0.0004464367,0.0387475226,0.0000167494,0.0015881360,,,
10007788,University of Cambridge,C,23,Education,,,,D,Antecedents of New-Onset Major Depressive Disorder in Children and Adolescents at High Familial Risk.,,,JAMA Psychiatry,74,2,153,,,2168-6238,,December,2016,,8,,,,,,,,Compliant,,,,,,https://doi.org/10.1001/jamapsychiatry.2016.3140,10002,10002,0.0000228621,0.0000617431,0.0408412216,0.0000105850,0.0000113418,0.0090615206,0.0000112385,0.0000160653,0.0000187332,0.6010762595,0.0000057962,0.0000108375,0.0000193339,0.0000633149,0.0000166745,0.0287784950,0.0000232537,0.0000323522,0.2164204352,0.0000186997,0.0000104966,0.0444870526,0.0000469279,0.0000178048,0.0394204053,0.0003148546,0.0000346235,0.0024166958,0.0000097946,0.0003197506,0.0000127902,0.0001112013,0.0133230145,0.0029422589,0.0000115653,,,
10007788,University of Cambridge,C,23,Education,,,,D,Association of Maternal and Paternal Depression in the Postnatal Period With Offspring Depression at Age 18 Years.,,,JAMA Psychiatry,76,3,290,,,2168-6238,,December,2018,,6,,,,,,,,Compliant,,,,,,https://doi.org/10.1001/jamapsychiatry.2018.3667,10003,10003,0.0000264859,0.0000715300,0.0174016325,0.0000122628,0.0000131396,0.0314680237,0.0000130199,0.0000186119,0.0000217026,0.7688231353,0.0000067150,0.0000125553,0.0000223985,0.0000733509,0.0000193176,0.0860739614,0.0000269396,0.0000374804,0.0203617726,0.0000216638,0.0000121604,0.0540057630,0.0000543665,0.0000206271,0.0015699039,0.0000563774,0.0000401116,0.0000243028,0.0000113471,0.0000620495,0.0000148176,0.0007455973,0.0185186900,0.0003247881,0.0000133985,,,
10007784,University College London,C,23,Education,,,,D,Psychosocial interventions for supporting women to stop smoking in pregnancy.,,,Cochrane Database Syst Rev,2,2,CD001055,ARTN CD001055,,1469-493X,,February,2017,,6,,,,,,,,Compliant,,,,https://static.cambridge.org/content/id/urn:cambridge.org:id:article:S0033291716002464/resource/name/S0033291716002464sup001.doc,,https://doi.org/10.1002/14651858.CD001055.pub5,10004,10004,0.0001523367,0.0004032853,0.0178891898,0.0000003545,0.0000003799,0.0067586502,0.0000003764,0.0000005381,0.0023366031,0.0047616869,0.0000001941,0.0000003630,0.0006515110,0.0001447757,0.0014092767,0.0010887451,0.0000007789,0.0000010836,0.0000002422,0.0000006263,0.0007582063,0.0120732907,0.0000015718,0.0004820570,0.0087830076,0.0028012344,0.0000279075,0.0016501511,0.0000003281,0.0000017940,0.0000004284,0.0159097574,0.9213645342,0.0005443464,0.0000003874,,,
10007784,University College London,C,23,Education,,,,D,The WHO Health Promoting School framework for improving the health and well-being of students and their academic achievement,,,Cochrane Database of Systematic Reviews,2014,4,CD008958,,,1469-493X,,April,2014,,9,,,,,,,,Out of scope for open access requirements,,,,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008958.pub2/appendices#CD008958-sec1-0011,,https://doi.org/10.1002/14651858.CD008958.pub2,10005,10005,0.0003392502,0.0000039176,0.0246666046,0.0001864614,0.0000007196,0.0000006999,0.0000007131,0.0000010194,0.0037338741,0.0167897314,0.0006928569,0.0001864774,0.0007443859,0.0000209073,0.0000010580,0.0140205789,0.0017580333,0.0010492315,0.0000004589,0.0000011865,0.0980469980,0.0012857432,0.1329271176,0.0019603674,0.0293900971,0.0000030877,0.0129399213,0.0000520010,0.0000006215,0.0087017379,0.0000008115,0.0010373446,0.6485591840,0.0000008984,0.0008959027,,,
10007784,University College London,C,23,Education,,,,D,School-based self-management interventions for asthma in children and adolescents: a mixed methods systematic review.,,,Cochrane Database Syst Rev,1,1,,CD011651,,1469-493X,,January,2019,,5,,,,,,,,Compliant,,,,,,https://doi.org/10.1002/14651858.CD011651.pub2,10006,10006,0.0000010868,0.0000029351,0.0812827741,0.0000005032,0.0006458988,0.0025693088,0.0000005343,0.0000007637,0.0000008905,0.0000134719,0.0000002755,0.0000131693,0.0001274602,0.0000030098,0.0000007927,0.0321302078,0.0005831945,0.0000774626,0.0006836658,0.0000008889,0.0003548141,0.0133896262,0.0465313965,0.0000008464,0.0003428091,0.0000023134,0.0010519371,0.0000009972,0.0000257738,0.0029256457,0.0000006080,0.0064968451,0.8107368698,0.0000006731,0.0000005498,,,
10007784,University College London,C,23,Education,,,,D,A realist review of which advocacy interventions work for which abused women under what circumstances.,,,Cochrane Database Syst Rev,6,6,CD013135,ARTN CD013135,,1469-493X,,June,2019,,3,,,,,,,,Compliant,,,,,,https://doi.org/10.1002/14651858.CD013135.pub2,10007,10007,0.0002495708,0.0015063294,0.0710649520,0.0016654688,0.0000005294,0.0037032198,0.0000005246,0.0062630429,0.0129479167,0.0049211761,0.0000002706,0.0005099384,0.0000381780,0.0041778174,0.0017527293,0.0000013946,0.0124883958,0.0000139353,0.0000376131,0.0000132980,0.0000004900,0.0133461965,0.0000021905,0.0019267347,0.1545082964,0.0001513737,0.0000016161,0.0068969566,0.0000004572,0.0000025000,0.0000005970,0.1149505723,0.5868545171,0.0000006609,0.0000005398,,,
10007138,"University of Northampton, The",C,23,Education,,,,D,Working With PhD Students to Build Their Transferability and Researcher Skills in the FEASST@8 and SuCCEED@8 Projects,,,New Directions for Adult and Continuing Education,2019,163,133,,,1536-0717,,September,2019,,0,,,,,,,,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/ace.20347,10012,10012,0.0000319195,0.0064042573,0.0559067087,0.0000147786,0.0000158352,0.0000153998,0.0000156909,0.0000224301,0.0000261549,0.0000240192,0.0000080926,0.0000151310,0.1040890406,0.0134678049,0.0000232806,0.0000417146,0.1401445796,0.0000451695,0.0000100974,0.0003977583,0.0000146551,0.0000463142,0.0000655198,0.0000248587,0.0156430273,0.0769995280,0.3144643827,0.0364510050,0.0000136750,0.1045084762,0.0048493096,0.1261446638,0.0000188057,0.0000197685,0.0000161472,,,
10007795,The University of Leeds,C,23,Education,,,,D,How Comprehensive are Research Studies Investigating the Efficacy of Technology-Enhanced Learning Resources in Anatomy Education? A Systematic Review,,,Anatomical Sciences Education,11,3,303,,,1935-9772,,December,2017,,3,,,,,,,,Compliant,,,,,,https://doi.org/10.1002/ase.1762,10013,10013,0.0001394002,0.0105564945,0.1919750252,0.0000051048,0.0009040920,0.3083611301,0.0044985312,0.0002644970,0.0061710156,0.0009069189,0.0000027953,0.0000052265,0.2185029085,0.0000305346,0.0000080415,0.0000144090,0.0000112144,0.0000156023,0.0000034878,0.0000090182,0.0059102941,0.0118264618,0.0027184985,0.0232443909,0.0003967714,0.0000234688,0.0821764474,0.0021924851,0.0000047236,0.0586930263,0.0143841245,0.0012090000,0.0213166809,0.0335126013,0.0000055775,,,
10007163,The University of Warwick,C,23,Education,,,,D,Parental relationship satisfaction in families of children with autism spectrum disorders (ASD) : a multilevel analysis,,"John Wiley & Sons, Inc.",Autism Research,10,7,1259,,,1939-3792,,July,2017,,2,,,,,,,,Compliant,,,,,,https://doi.org/10.1002/aur.1773,10014,10014,0.0000208324,0.0010264991,0.0430368962,0.0000096453,0.0000103349,0.0000100507,0.0000102408,0.0000146391,0.0000170701,0.3932043766,0.0000052817,0.0000098753,0.0000176175,0.0005428127,0.0000151942,0.1499289012,0.0017191047,0.0000294801,0.3189721305,0.0000170396,0.0000095647,0.0747385058,0.0000427618,0.0014715803,0.0080264661,0.0000443435,0.0000315497,0.0000191153,0.0000089251,0.0000488049,0.0000116547,0.0068929909,0.0000122736,0.0000129020,0.0000105386,,,
